step,time,base_positions,base_velocities,perturbed_positions,perturbed_velocities,position_torus_l1,positions_exactly_equal,complete_states_equal
145,29/4,9/10|19/20|2/5|11/20,-1/5|-2/5|3/5|2/5,19/20|19/20|0|9/10,-2/5|2/5|3/5|-1/5,4/5,False,False
146,73/10,89/100|93/100|43/100|57/100,-1/5|-2/5|3/5|2/5,93/100|97/100|3/100|89/100,-2/5|2/5|3/5|-1/5,4/5,False,False
147,147/20,22/25|91/100|23/50|59/100,-1/5|-2/5|3/5|2/5,91/100|99/100|3/50|22/25,-2/5|2/5|3/5|-1/5,4/5,False,False
148,37/5,87/100|89/100|49/100|61/100,-1/5|-2/5|3/5|2/5,89/100|1/100|9/100|87/100,-2/5|2/5|3/5|-1/5,4/5,False,False
149,149/20,43/50|87/100|13/25|63/100,-1/5|-2/5|3/5|2/5,87/100|3/100|3/25|43/50,-2/5|2/5|3/5|-1/5,4/5,False,False
150,15/2,17/20|17/20|11/20|13/20,-2/5|-1/5|3/5|2/5,17/20|1/20|3/20|17/20,-1/5|2/5|3/5|-2/5,4/5,False,False
151,151/20,83/100|21/25|29/50|67/100,-2/5|-1/5|3/5|2/5,21/25|7/100|9/50|83/100,-1/5|2/5|3/5|-2/5,4/5,False,False
152,38/5,81/100|83/100|61/100|69/100,-2/5|-1/5|3/5|2/5,83/100|9/100|21/100|81/100,-1/5|2/5|3/5|-2/5,4/5,False,False
153,153/20,79/100|41/50|16/25|71/100,-2/5|-1/5|3/5|2/5,41/50|11/100|6/25|79/100,-1/5|2/5|3/5|-2/5,4/5,False,False
154,77/10,77/100|81/100|67/100|73/100,-2/5|-1/5|3/5|2/5,81/100|13/100|27/100|77/100,-1/5|2/5|3/5|-2/5,4/5,False,False
155,31/4,3/4|4/5|7/10|3/4,2/5|-1/5|3/5|-2/5,4/5|3/20|3/10|3/4,-1/5|2/5|3/5|-2/5,4/5,False,False
156,39/5,77/100|79/100|73/100|73/100,2/5|-1/5|-2/5|3/5,79/100|17/100|33/100|73/100,-1/5|2/5|3/5|-2/5,4/5,False,False
157,157/20,39/50|79/100|71/100|19/25,-1/5|2/5|-2/5|3/5,39/50|19/100|9/25|71/100,-1/5|2/5|3/5|-2/5,4/5,False,False
